ph_mode,ph_metric,other_metric,n,pearson,spearman
fixed_knn_vr,total_persistence_h1,median_pairwise_distance,1664,-0.08851961928790976,0.024625878554392987
fixed_knn_vr,total_persistence_h1,std_pairwise_distance,1664,-0.1074294221496407,-0.07687814621339531
fixed_knn_vr,total_persistence_h1,q10_pairwise_distance,1664,0.10951592398168022,0.004218192512402731
fixed_knn_vr,total_persistence_h1,q50_pairwise_distance,1664,-0.08851961928790976,0.024625878554392987
fixed_knn_vr,total_persistence_h1,q90_pairwise_distance,1664,-0.09068970566290584,0.018424785870786543
fixed_knn_vr,total_persistence_h1,projection_residual,208,-0.5554785364192457,-0.6503340903755679
fixed_knn_vr,max_persistence_h1,effective_rank,1664,0.45857755544105566,0.497305566564685
fixed_knn_vr,max_persistence_h1,top_k_variance_fraction,1664,-0.43210878998117835,-0.37629152788174797
fixed_knn_vr,max_persistence_h1,mean_pairwise_distance,1664,-0.1180133951918255,0.10508033168633561
fixed_knn_vr,max_persistence_h1,median_pairwise_distance,1664,-0.1294378178599556,0.11869417284576797
fixed_knn_vr,max_persistence_h1,std_pairwise_distance,1664,-0.15778026340106727,-0.01033570787547479
fixed_knn_vr,max_persistence_h1,q10_pairwise_distance,1664,0.18864736703531237,0.16860055265666984
fixed_knn_vr,max_persistence_h1,q50_pairwise_distance,1664,-0.1294378178599556,0.11869417284576797
fixed_knn_vr,max_persistence_h1,q90_pairwise_distance,1664,-0.12797747123009331,0.11395395446579054
fixed_knn_vr,max_persistence_h1,projection_residual,208,-0.5748921560762759,-0.6659116497934785
fixed_knn_vr,top5_persistence_h1,effective_rank,1664,0.45428757346629306,0.487343567993639
fixed_knn_vr,top5_persistence_h1,top_k_variance_fraction,1664,-0.42806990921834237,-0.3671490557448859
fixed_knn_vr,top5_persistence_h1,mean_pairwise_distance,1664,-0.11840004118209066,0.09574551661578914
fixed_knn_vr,top5_persistence_h1,median_pairwise_distance,1664,-0.12957795915178572,0.10954600212788974
fixed_knn_vr,top5_persistence_h1,std_pairwise_distance,1664,-0.1569826576117256,-0.01754896493829179
fixed_knn_vr,top5_persistence_h1,q10_pairwise_distance,1664,0.18253312930905827,0.15695574261658832
fixed_knn_vr,top5_persistence_h1,q50_pairwise_distance,1664,-0.12957795915178572,0.10954600212788974
fixed_knn_vr,top5_persistence_h1,q90_pairwise_distance,1664,-0.12804210770981606,0.10504136161630698
fixed_knn_vr,top5_persistence_h1,projection_residual,208,-0.574786786428978,-0.6623833408017348
fixed_knn_vr,betti_curve_area_h1,effective_rank,1664,0.46520241190344547,0.3652592950369335
fixed_knn_vr,betti_curve_area_h1,top_k_variance_fraction,1664,-0.4355770057101972,-0.2560604198781551
fixed_knn_vr,betti_curve_area_h1,mean_pairwise_distance,1664,-0.08529512501412005,0.010045919893878642
fixed_knn_vr,betti_curve_area_h1,median_pairwise_distance,1664,-0.08993920856137988,0.028616674469647205
fixed_knn_vr,betti_curve_area_h1,std_pairwise_distance,1664,-0.1089412042227538,-0.07290986079070015
fixed_knn_vr,betti_curve_area_h1,q10_pairwise_distance,1664,0.10980557272574472,0.003619701298916258
fixed_knn_vr,betti_curve_area_h1,q50_pairwise_distance,1664,-0.08993920856137988,0.028616674469647205
fixed_knn_vr,betti_curve_area_h1,q90_pairwise_distance,1664,-0.09212721679113871,0.022613094226678017
fixed_knn_vr,betti_curve_area_h1,projection_residual,208,-0.5540177365971032,-0.6296107159320893
fixed_knn_vr,betti_curve_peak_h1,effective_rank,1664,0.27718809245402887,0.3515459660817791
fixed_knn_vr,betti_curve_peak_h1,top_k_variance_fraction,1664,-0.24567345943103866,-0.24309329590599682
fixed_knn_vr,betti_curve_peak_h1,mean_pairwise_distance,1664,0.021756816282888725,-0.025451174642122085
fixed_knn_vr,betti_curve_peak_h1,median_pairwise_distance,1664,0.01828435052419248,-0.014445492858438578
fixed_knn_vr,betti_curve_peak_h1,std_pairwise_distance,1664,0.01768403106060588,-0.11649776051716744
